name,source,source_book,best_candidate,similarity
Rotting Curse of Urfestra,book-of-vile-darkness,Book of Vile Darkness,curse of despair,0.585
Sacrificial Skill,book-of-vile-darkness,Book of Vile Darkness,critical strike,0.625
Sadism,book-of-vile-darkness,Book of Vile Darkness,shades,0.667
Sap Strength,book-of-vile-darkness,Book of Vile Darkness,bull's strength,0.741
Seething Eyebane,book-of-vile-darkness,Book of Vile Darkness,see the unseen,0.6
Serpents of Theggeron,book-of-vile-darkness,Book of Vile Darkness,aspect of the deity,0.6
Shriveling,book-of-vile-darkness,Book of Vile Darkness,shield,0.625
Slash Tongue,book-of-vile-darkness,Book of Vile Darkness,tongues,0.632
Slow Consumption,book-of-vile-darkness,Book of Vile Darkness,shadow conjuration,0.706
Snare Astral Traveler,book-of-vile-darkness,Book of Vile Darkness,easy trail,0.516
Song of Festering Death,book-of-vile-darkness,Book of Vile Darkness,finger of death,0.579
Sorrow,book-of-vile-darkness,Book of Vile Darkness,slow,0.6
Soul Shackles,book-of-vile-darkness,Book of Vile Darkness,stone shape,0.583
Soul's Treasure Lost,book-of-vile-darkness,Book of Vile Darkness,restore soul's treasure,0.698
Spider Hand,book-of-vile-darkness,Book of Vile Darkness,spectral hand,0.75
Spider Legs,book-of-vile-darkness,Book of Vile Darkness,spider climb,0.696
Spores of the Vrock,book-of-vile-darkness,Book of Vile Darkness,eyes of the avoral,0.649
Spread of Savagery,book-of-vile-darkness,Book of Vile Darkness,spear of valarian,0.629
Steal Life,book-of-vile-darkness,Book of Vile Darkness,false life,0.7
Stop Heart,book-of-vile-darkness,Book of Vile Darkness,smite heretic,0.609
Stunning Screech,book-of-vile-darkness,Book of Vile Darkness,stunning breath,0.774
Stupor,book-of-vile-darkness,Book of Vile Darkness,teleport,0.571
Suspend Disease,book-of-vile-darkness,Book of Vile Darkness,remove disease,0.621
Thousand Needles,book-of-vile-darkness,Book of Vile Darkness,poison needles,0.733
Tongue of Baalzebul,book-of-vile-darkness,Book of Vile Darkness,ring of blades,0.545
Tongue Serpents,book-of-vile-darkness,Book of Vile Darkness,tongues,0.636
Tongue Tendrils,book-of-vile-darkness,Book of Vile Darkness,stone tell,0.64
Touch of Juiblex,book-of-vile-darkness,Book of Vile Darkness,touch of fatigue,0.688
Unheavened,book-of-vile-darkness,Book of Vile Darkness,heaven's trumpet,0.538
Unliving Weapon,book-of-vile-darkness,Book of Vile Darkness,vanishing weapon,0.774
Unnerving Gaze,book-of-vile-darkness,Book of Vile Darkness,evil glare,0.583
Vile Lance,book-of-vile-darkness,Book of Vile Darkness,silence,0.706
Wall of Chains,book-of-vile-darkness,Book of Vile Darkness,wall of thorns,0.786
Wall of Deadly Chains,book-of-vile-darkness,Book of Vile Darkness,wall of gears,0.647
Wall of Eyes,book-of-vile-darkness,Book of Vile Darkness,wall of bones,0.8
Wall of Ooze,book-of-vile-darkness,Book of Vile Darkness,wall of bones,0.8
Wave of Pain,book-of-vile-darkness,Book of Vile Darkness,wages of sin,0.75
Were-doom,book-of-vile-darkness,Book of Vile Darkness,freedom,0.625
Whirlwind of Teeth,book-of-vile-darkness,Book of Vile Darkness,whirlwind,0.667
Wretched Blight,book-of-vile-darkness,Book of Vile Darkness,devil blight,0.593
Air Breathing,champions-of-ruin,Champions of Ruin,water breathing,0.857
Anathema,champions-of-ruin,Champions of Ruin,animate dead,0.6
Arrowsplit,champions-of-ruin,Champions of Ruin,arrow storm,0.667
Battle Line,champions-of-ruin,Champions of Ruin,false life,0.667
Bedevil,champions-of-ruin,Champions of Ruin,despoil,0.571
Bloodfreeze Arrow,champions-of-ruin,Champions of Ruin,blood of the martyr,0.611
Bloodspear,champions-of-ruin,Champions of Ruin,bloodstar,0.842
Brilliant Energy Arrow,champions-of-ruin,Champions of Ruin,brilliant emanation,0.683
Control Darkness and Shadow,champions-of-ruin,Champions of Ruin,control undead,0.585
Darkflame Arrow,champions-of-ruin,Champions of Ruin,flame arrow,0.846
Doublestrike Arrow,champions-of-ruin,Champions of Ruin,golem strike,0.6
Enrage Animals,champions-of-ruin,Champions of Ruin,calm animals,0.692
Locate Node,champions-of-ruin,Champions of Ruin,locate object,0.75
Love's Lament,champions-of-ruin,Champions of Ruin,master's lament,0.714
Mantle of the Slime Lord,champions-of-ruin,Champions of Ruin,mantle of pure spite,0.682
Mark of the Unfaithful,champions-of-ruin,Champions of Ruin,mark of the hunter,0.75
Necrotic Skull Bomb,champions-of-ruin,Champions of Ruin,necrotic bloat,0.667
Node Door,champions-of-ruin,Champions of Ruin,phase door,0.632
Node Genesis,champions-of-ruin,Champions of Ruin,telekinesis,0.609
Node Lock,champions-of-ruin,Champions of Ruin,arcane lock,0.7
Pocket Cave,champions-of-ruin,Champions of Ruin,forcecage,0.6
Ravage,champions-of-ruin,Champions of Ruin,rage,0.8
Remorseless Charm,champions-of-ruin,Champions of Ruin,remove fear,0.571
Scourge of Force,champions-of-ruin,Champions of Ruin,orb of force,0.786
Serpent Arrow,champions-of-ruin,Champions of Ruin,flame arrow,0.583
Shadow Arrow,champions-of-ruin,Champions of Ruin,acid arrow,0.727
Shadow Trap,champions-of-ruin,Champions of Ruin,shadow form,0.727
Slashing Darkness,champions-of-ruin,Champions of Ruin,damning darkness,0.788
Slime Hurl,champions-of-ruin,Champions of Ruin,sublime revelry,0.64
Spellslayer Arrow,champions-of-ruin,Champions of Ruin,flame arrow,0.643
Symphonic Nightmare,champions-of-ruin,Champions of Ruin,manifest nightmare,0.703
Tvash-prull's Bonefiddle,champions-of-ruin,Champions of Ruin,sniper's eye,0.444
Undersong,champions-of-ruin,Champions of Ruin,hold person,0.6
Unholy Beast,champions-of-ruin,Champions of Ruin,unholy storm,0.75
Whip of Thorns,champions-of-ruin,Champions of Ruin,wall of thorns,0.786
Woodwisp Arrow,champions-of-ruin,Champions of Ruin,wood rot,0.636
Animate With the Spirit,champions-of-valor,Champions of Valor,commune with greater spirit,0.68
Benign Projection,champions-of-valor,Champions of Valor,astral projection,0.647
Celestial Fortress,champions-of-valor,Champions of Valor,celestial blood,0.667
Create Lantern Archon,champions-of-valor,Champions of Valor,create water,0.667
Dawn Shroud,champions-of-valor,Champions of Valor,dragon cloud,0.609
Disk of Solar Vengeance,champions-of-valor,Champions of Valor,storm of vengeance,0.683
Dispel Silence,champions-of-valor,Champions of Valor,dispel evil,0.72
Eilistraee's Moonfire,champions-of-valor,Champions of Valor,traveler's mount,0.595
Faith Healing Wand,champions-of-valor,Champions of Valor,helping hand,0.667
Favor of Tymora,champions-of-valor,Champions of Valor,aura of terror,0.621
Fleeting Fortune,champions-of-valor,Champions of Valor,freezing fog,0.643
Golden Dragonmail,champions-of-valor,Champions of Valor,death dragon,0.621
Holy Fire Shield,champions-of-valor,Champions of Valor,fire shield,0.815
Horrible Taste,champions-of-valor,Champions of Valor,hellrime blast,0.571
Lionheart,champions-of-valor,Champions of Valor,lion's roar,0.6
Love Bite,champions-of-valor,Champions of Valor,eyebite,0.625
Portal Well,champions-of-valor,Champions of Valor,spiritual weapon,0.593
Rend Shadow Weave,champions-of-valor,Champions of Valor,shadow walk,0.643
Runic Marker,champions-of-valor,Champions of Valor,arcane mark,0.609
Shard Blessing Aura,champions-of-valor,Champions of Valor,blessing of bahamut,0.579
Silver Dragonmail,champions-of-valor,Champions of Valor,silvered weapon,0.625
Skin of the Steel Dragon,champions-of-valor,Champions of Valor,voice of the dragon,0.698
Spellsong,champions-of-valor,Champions of Valor,spell turning,0.636
"Spellsong, Lesser",champions-of-valor,Champions of Valor,"geas, lesser",0.621
Spiderbind,champions-of-valor,Champions of Valor,spirit binding,0.667
Stars of Mystra,champions-of-valor,Champions of Valor,stars of arvandor,0.688
Stars of SelÃ›ne,champions-of-valor,Champions of Valor,hiss of sleep,0.621
Stormvoice,champions-of-valor,Champions of Valor,storm tower,0.667
Thunderstroke,champions-of-valor,Champions of Valor,true strike,0.667
Vision of Punishment,champions-of-valor,Champions of Valor,vision of heaven,0.722
Binding Chain of Fate,city-of-splendors-waterdeep,City of Splendors: Waterdeep,binding winds,0.588
Ensul's Soultheft,city-of-splendors-waterdeep,City of Splendors: Waterdeep,phieran's resolve,0.529
Halaster's Blacksphere,city-of-splendors-waterdeep,City of Splendors: Waterdeep,master's lament,0.595
Halaster's Fetch I,city-of-splendors-waterdeep,City of Splendors: Waterdeep,master's touch,0.688
Halaster's Fetch Ii,city-of-splendors-waterdeep,City of Splendors: Waterdeep,master's touch,0.667
Halaster's Fetch Iii,city-of-splendors-waterdeep,City of Splendors: Waterdeep,master's touch,0.647
Halaster's Fetch Iv,city-of-splendors-waterdeep,City of Splendors: Waterdeep,master's touch,0.667
Halaster's Fetch V,city-of-splendors-waterdeep,City of Splendors: Waterdeep,master's touch,0.688
Halaster's Fetch Vi,city-of-splendors-waterdeep,City of Splendors: Waterdeep,master's touch,0.667
Halaster's Image Swap,city-of-splendors-waterdeep,City of Splendors: Waterdeep,lastai's caress,0.556
Halaster's Light Step,city-of-splendors-waterdeep,City of Splendors: Waterdeep,lantern light,0.647
Halaster's Shaking Hand,city-of-splendors-waterdeep,City of Splendors: Waterdeep,interposing hand,0.615
Halaster's Teleport Cage,city-of-splendors-waterdeep,City of Splendors: Waterdeep,anticipate teleportation,0.583
Jhanifer's Deliquescence,city-of-splendors-waterdeep,City of Splendors: Waterdeep,manifest desire,0.564
Jumpgout,city-of-splendors-waterdeep,City of Splendors: Waterdeep,jump,0.667
Khelben's Dweomerdoom,city-of-splendors-waterdeep,City of Splendors: Waterdeep,analyze dweomer,0.5
Laeral's Crowning Touch,city-of-splendors-waterdeep,City of Splendors: Waterdeep,healing touch,0.667
Laeral's Silver Lance,city-of-splendors-waterdeep,City of Splendors: Waterdeep,bear's endurance,0.595
Palarandusk's Fire Breath,city-of-splendors-waterdeep,City of Splendors: Waterdeep,fire breath,0.611
Steelsting,city-of-splendors-waterdeep,City of Splendors: Waterdeep,seeming,0.706
Trobriand's Baleful Teleport,city-of-splendors-waterdeep,City of Splendors: Waterdeep,bands of steel,0.524
Trobriand's Crystalbrittle,city-of-splendors-waterdeep,City of Splendors: Waterdeep,herald's call,0.513
Trobriand's Glassee,city-of-splendors-waterdeep,City of Splendors: Waterdeep,bodak's glare,0.562
Detect Weaponry,cityscape,CityScape,detect poison,0.714
False Peacebond,cityscape,CityScape,false vision,0.593
Impeding Stones,cityscape,CityScape,meld into stone,0.733
Leomund's Spacious Carriage,cityscape,CityScape,leomund's hidden lodge,0.571
Peacebond,cityscape,CityScape,telepathic bond,0.583
Secret Weapon,cityscape,CityScape,silvered weapon,0.786
Summon Pest Swarm,cityscape,CityScape,summon swarm,0.828
Zone of Peace,cityscape,CityScape,zone of silence,0.786
Aligned Aura,complete-champion,Complete Champion,antidragon aura,0.667
Benediction,complete-champion,Complete Champion,enervation,0.667
Bewildering Mischance,complete-champion,Complete Champion,blistering radiance,0.65
Bewildering Substitution,complete-champion,Complete Champion,breath weapon substitution,0.72
Bewildering Visions,complete-champion,Complete Champion,whispering wind,0.588
Bleed,complete-champion,Complete Champion,blessed aim,0.625
Body Ward,complete-champion,Complete Champion,holy word,0.667
Bolster Aura,complete-champion,Complete Champion,holy aura,0.667
Conduit of Life,complete-champion,Complete Champion,crown of flame,0.621
Confound,complete-champion,Complete Champion,confusion,0.706
Dampen Magic,complete-champion,Complete Champion,dispel magic,0.75
Darts of Life,complete-champion,Complete Champion,spark of life,0.769
Deific Bastion,complete-champion,Complete Champion,divination,0.667
Divine Presence,complete-champion,Complete Champion,divine power,0.667
Divine Retribution,complete-champion,Complete Champion,divine inspiration,0.667
Door of Decay,complete-champion,Complete Champion,word of recall,0.667
Execration,complete-champion,Complete Champion,enervation,0.8
Footsteps of the Divine,complete-champion,Complete Champion,bite of the king,0.615
Forest Child,complete-champion,Complete Champion,forestfold,0.727
Forest Eyes,complete-champion,Complete Champion,fiery eyes,0.667
Forest Voice,complete-champion,Complete Champion,forestfold,0.636
Healing Circle,complete-champion,Complete Champion,healing lorecall,0.667
Iconic Manifestation,complete-champion,Complete Champion,necrotic domination,0.615
Impede,complete-champion,Complete Champion,animate dead,0.556
Interfaith Blessing,complete-champion,Complete Champion,insigna of blessing,0.632
Light of Courage,complete-champion,Complete Champion,light of mercuria,0.788
Light of Faith,complete-champion,Complete Champion,flame of faith,0.714
Light of Purity,complete-champion,Complete Champion,light of lunia,0.759
Light of Wisdom,complete-champion,Complete Champion,light of lunia,0.69
Lore of the Gods,complete-champion,Complete Champion,cloak of the sea,0.688
Mark of Sin,complete-champion,Complete Champion,mark of justice,0.769
Master Cavalier,complete-champion,Complete Champion,master's lament,0.6
Metal Fang,complete-champion,Complete Champion,magic fang,0.7
Moral Facade,complete-champion,Complete Champion,orb of acid,0.609
Phantom Charge,complete-champion,Complete Champion,phantom bear,0.769
Profane Item,complete-champion,Complete Champion,plane shift,0.609
Ravenous Darkness,complete-champion,Complete Champion,creeping darkness,0.706
Rejuvenating Light,complete-champion,Complete Champion,resonating bolt,0.667
Sacred Item,complete-champion,Complete Champion,sacred haven,0.696
Seed of Life,complete-champion,Complete Champion,spark of life,0.72
Soul Ward,complete-champion,Complete Champion,duelward,0.706
Spiritual Advisor,complete-champion,Complete Champion,spiritual chariot,0.765
Spiritual Guardian,complete-champion,Complete Champion,spiritual chariot,0.743
Subdue Aura,complete-champion,Complete Champion,sunbeam,0.556
Substitute Domain,complete-champion,Complete Champion,sustain,0.583
Summon Holy Symbol,complete-champion,Complete Champion,summon swarm,0.6
Surge of Fortune,complete-champion,Complete Champion,curse of ill fortune,0.778
Touch of Restoration,complete-champion,Complete Champion,restoration,0.71
Turn Anathema,complete-champion,Complete Champion,train animal,0.64
War-mount,complete-champion,Complete Champion,mount,0.714
Weight of Sin,complete-champion,Complete Champion,wages of sin,0.72
Wooden Blight,complete-champion,Complete Champion,devil blight,0.72
Adamantine Wings,complete-mage,Complete Mage,demon wings,0.667
Allied Footsteps,complete-mage,Complete Mage,wall of stone,0.552
Animate Weapon,complete-mage,Complete Mage,animate dead,0.769
Arboreal Transformation,complete-mage,Complete Mage,transformation,0.757
Arcane Fusion,complete-mage,Complete Mage,confusion,0.727
"Arcane Fusion, Greater",complete-mage,Complete Mage,"arcane sight, greater",0.837
Arcane Turmoil,complete-mage,Complete Mage,arcane lock,0.64
Aspect of the Icy Hunter,complete-mage,Complete Mage,"aspect of the deity, greater",0.769
Attentive Alarm,complete-mage,Complete Mage,attune form,0.615
Battlecry,complete-mage,Complete Mage,shatter,0.625
Bigby's Slapping Hand,complete-mage,Complete Mage,grasping hand,0.647
Blackrot,complete-mage,Complete Mage,blackfire,0.706
Bloodletting,complete-mage,Complete Mage,nondetection,0.583
Boiling Blood,complete-mage,Complete Mage,burning blood,0.769
Bothersome Babble,complete-mage,Complete Mage,corpse candle,0.533
Cacophonous Alarm,complete-mage,Complete Mage,cacophonic shield,0.588
Caterwaul,complete-mage,Complete Mage,water walk,0.737
Catsfeet,complete-mage,Complete Mage,atonement,0.588
Caustic Mire,complete-mage,Complete Mage,castigate,0.571
Caustic Smoke,complete-mage,Complete Mage,magic stone,0.583
Channeled Lifetheft,complete-mage,Complete Mage,channel celestial,0.556
Channeled Sound Blast,complete-mage,Complete Mage,channel celestial,0.579
Choking Cobwebs,complete-mage,Complete Mage,dancing web,0.615
Climbing Tree,complete-mage,Complete Mage,flaming sphere,0.593
Coat of Arms,complete-mage,Complete Mage,cloak of chaos,0.692
Combined Talent,complete-mage,Complete Mage,command plants,0.621
Cryptwarden's Grasp,complete-mage,Complete Mage,earthen grasp,0.625
Crystalline Memories,complete-mage,Complete Mage,calm emotions,0.545
Dawn Burst,complete-mage,Complete Mage,sound burst,0.667
Deadly Lahar,complete-mage,Complete Mage,death ward,0.545
Deadly Sunstroke,complete-mage,Complete Mage,tidal surge,0.593
Deafening Blast,complete-mage,Complete Mage,deafening breath,0.839
Death's Call,complete-mage,Complete Mage,death knell,0.696
Deathsight,complete-mage,Complete Mage,daylight,0.667
Deceptive Facade,complete-mage,Complete Mage,corpse candle,0.552
Dimension Jumper,complete-mage,Complete Mage,dimension door,0.733
"Dimension Jumper, Greater",complete-mage,Complete Mage,"bestow curse, greater",0.652
Discordant Malediction,complete-mage,Complete Mage,sword of deception,0.55
Doublespeak,complete-mage,Complete Mage,blessed aim,0.545
Dreaded Form of the Eye Tyrant,complete-mage,Complete Mage,freedom of movement,0.571
Elemental Eye,complete-mage,Complete Mage,elemental ward,0.741
Endless Slumber,complete-mage,Complete Mage,deep slumber,0.741
Enduring Scrutiny,complete-mage,Complete Mage,listening coin,0.581
Energy Absorption,complete-mage,Complete Mage,absorption,0.741
Escalating Enfeeblement,complete-mage,Complete Mage,ray of enfeeblement,0.667
False Lie,complete-mage,Complete Mage,false life,0.947
Familiar Refuge,complete-mage,Complete Mage,familiar geas,0.786
Fever Dream,complete-mage,Complete Mage,dream,0.625
Finger of Agony,complete-mage,Complete Mage,finger of death,0.733
Fire and Brimstone,complete-mage,Complete Mage,reanimation,0.621
Flaying Tendrils,complete-mage,Complete Mage,floating disk,0.69
Form of the Threefold Beast,complete-mage,Complete Mage,call forth the beast,0.553
Genius Loci,complete-mage,Complete Mage,legend lore,0.545
Ghost Lantern,complete-mage,Complete Mage,ghost light,0.667
Great Worm of the Earth,complete-mage,Complete Mage,glory of the martyr,0.667
Guided Path,complete-mage,Complete Mage,guided shot,0.727
Heart of Air,complete-mage,Complete Mage,heart of stone,0.692
Heart of Earth,complete-mage,Complete Mage,heart of stone,0.714
Heart of Fire,complete-mage,Complete Mage,orb of fire,0.75
Heart of Water,complete-mage,Complete Mage,heart of stone,0.786
Hood of the Cobra,complete-mage,Complete Mage,blood of the martyr,0.667
Horrid Sickness,complete-mage,Complete Mage,horrid wilting,0.621
Immediate Assistance,complete-mage,Complete Mage,resistance,0.6
Incendiary Slime,complete-mage,Complete Mage,incendiary cloud,0.75
Incendiary Surge,complete-mage,Complete Mage,incendiary cloud,0.75
Interminable Echo,complete-mage,Complete Mage,internal fire,0.6
Jet of Steam,complete-mage,Complete Mage,heart of stone,0.692
Karmic Aura,complete-mage,Complete Mage,magic aura,0.762
Karmic Backlash,complete-mage,Complete Mage,ice blast,0.583
Karmic Retribution,complete-mage,Complete Mage,necrotic eruption,0.571
Lash of Force,complete-mage,Complete Mage,blast of force,0.889
Lightning Leap,complete-mage,Complete Mage,lightning blade,0.828
Lingering Chorus,complete-mage,Complete Mage,blinding glory,0.6
Lingering Flames,complete-mage,Complete Mage,ring of blades,0.667
Luminous Swarm,complete-mage,Complete Mage,luminous armor,0.857
Magic Savant,complete-mage,Complete Mage,magic aura,0.727
Mask of the Ideal,complete-mage,Complete Mage,cloak of the sea,0.727
Melf's Slumber Arrows,complete-mage,Complete Mage,mage's lucubration,0.564
Mordenkainen's Trusted Bloodhound,complete-mage,Complete Mage,fire in the blood,0.52
Mysterious Redirection,complete-mage,Complete Mage,misdirection,0.647
Near Horizon,complete-mage,Complete Mage,delay poison,0.583
Necrotic Curse,complete-mage,Complete Mage,necrotic burst,0.857
Nightmare Terrain,complete-mage,Complete Mage,nightmare,0.692
Otiluke's Supressing Field,complete-mage,Complete Mage,otiluke's dissolving screen,0.642
Otto's Imperative Ambulation,complete-mage,Complete Mage,sympathetic vibration,0.531
Painful Echoes,complete-mage,Complete Mage,chain of eyes,0.593
Pall of Twilight,complete-mage,Complete Mage,fell flight,0.667
Phantasmal Strangler,complete-mage,Complete Mage,phantasmal killer,0.757
Prickling Torment,complete-mage,Complete Mage,wracking touch,0.581
Prismatic Aura,complete-mage,Complete Mage,prismatic ray,0.889
Prismatic Bow,complete-mage,Complete Mage,prismatic wall,0.815
Prismatic Deluge,complete-mage,Complete Mage,prismatic sphere,0.75
Rain of Spines,complete-mage,Complete Mage,rain of roses,0.815
Rary's Arcane Conversion,complete-mage,Complete Mage,arcane sight,0.5
Reaving Aura,complete-mage,Complete Mage,brillant aura,0.64
Rebirth of Iron,complete-mage,Complete Mage,heart of stone,0.621
Repelling Shield,complete-mage,Complete Mage,repelling blast,0.71
Resinous Tar,complete-mage,Complete Mage,resist taint,0.667
Resonating Agony,complete-mage,Complete Mage,resonating bolt,0.774
Resounding Thunder,complete-mage,Complete Mage,finding the center,0.611
Retributive Enervation,complete-mage,Complete Mage,retributive invisibility,0.652
Retributive Image,complete-mage,Complete Mage,retributive invisibility,0.634
Rusted Blade,complete-mage,Complete Mage,cursed blade,0.833
Seed of Undeath,complete-mage,Complete Mage,veil of undeath,0.8
"Seed of Undeath, Greater",complete-mage,Complete Mage,"aspect of the deity, greater",0.692
Shape of the Hellspawned Stalker,complete-mage,Complete Mage,"aspect of the deity, lesser",0.576
Smoky Confinement,complete-mage,Complete Mage,summon instrument,0.588
Spellcaster's Bane,complete-mage,Complete Mage,master's lament,0.606
Steal Summoning,complete-mage,Complete Mage,instant summons,0.667
Storm of Fire and Ice,complete-mage,Complete Mage,storm of vengeance,0.718
Storm of Needles,complete-mage,Complete Mage,rain of needles,0.774
Summon Component,complete-mage,Complete Mage,summon monster i,0.688
Summon Weapon,complete-mage,Complete Mage,sonic weapon,0.8
Tactical Teleportation,complete-mage,Complete Mage,anticipate teleportation,0.826
Tenacious Dispelling,complete-mage,Complete Mage,voracious dispelling,0.85
Torrent of Tears,complete-mage,Complete Mage,storm of shards,0.645
Touch of the Graveborn,complete-mage,Complete Mage,chill of the grave,0.75
Touch of Vecna,complete-mage,Complete Mage,touch of idiocy,0.69
Touch of Years,complete-mage,Complete Mage,touch of madness,0.733
Towering Thunderhead,complete-mage,Complete Mage,awaken undead,0.606
Toxic Tongue,complete-mage,Complete Mage,tongues,0.632
Transcend Mortality,complete-mage,Complete Mage,sheltered vitality,0.595
True Casting,complete-mage,Complete Mage,true creation,0.8
Unicorn Blood,complete-mage,Complete Mage,burning blood,0.769
Unicorn Heart,complete-mage,Complete Mage,cheat,0.556
Unicorn Horn,complete-mage,Complete Mage,poison thorns,0.64
Unseen Strike,complete-mage,Complete Mage,true strike,0.75
Unyielding Form of Inevitable Death,complete-mage,Complete Mage,unyielding roots,0.549
Vecna Malevolent Whisper,complete-mage,Complete Mage,maddening whispers,0.571
Vigilant Slumber,complete-mage,Complete Mage,giant size,0.615
Vital Strike,complete-mage,Complete Mage,critical strike,0.815
Animate Instrument,complete-scoundrel,Complete Scoundrel,animate fire,0.733
Aquatic Escape,complete-scoundrel,Complete Scoundrel,axiomatic creature,0.562
Armor Lock,complete-scoundrel,Complete Scoundrel,arcane lock,0.667
Assassin's Darkness,complete-scoundrel,Complete Scoundrel,lastai's caress,0.706
Blockade,complete-scoundrel,Complete Scoundrel,blackfire,0.588
Catapult,complete-scoundrel,Complete Scoundrel,castigate,0.588
Create Fetch,complete-scoundrel,Complete Scoundrel,create water,0.667
Disobedience,complete-scoundrel,Complete Scoundrel,obedient avalanche,0.6
Enlarge Weapon,complete-scoundrel,Complete Scoundrel,enlarge person,0.786
Evacuation Rune,complete-scoundrel,Complete Scoundrel,enervating breath,0.562
Fatal Flame,complete-scoundrel,Complete Scoundrel,continual flame,0.692
Grasping Wall,complete-scoundrel,Complete Scoundrel,grasping hand,0.769
Harmonic Void,complete-scoundrel,Complete Scoundrel,harmonic chorus,0.714
Healer's Vision,complete-scoundrel,Complete Scoundrel,false vision,0.741
Lucky Streak,complete-scoundrel,Complete Scoundrel,city stride,0.609
Mage Burr,complete-scoundrel,Complete Scoundrel,mage armor,0.737
Manifestation of the Deity,complete-scoundrel,Complete Scoundrel,aspect of the deity,0.711
Mimicry,complete-scoundrel,Complete Scoundrel,antimagic ray,0.6
Opportune Dodge,complete-scoundrel,Complete Scoundrel,morality undone,0.533
Scry Location,complete-scoundrel,Complete Scoundrel,discern location,0.828
Siphon,complete-scoundrel,Complete Scoundrel,vision,0.667
Smoke Stairs,complete-scoundrel,Complete Scoundrel,smoke ladder,0.667
Spell Theft,complete-scoundrel,Complete Scoundrel,spellstaff,0.667
Spore Field,complete-scoundrel,Complete Scoundrel,consumptive field,0.643
Spymaster's Coin,complete-scoundrel,Complete Scoundrel,master's touch,0.667
Wall of Vermin,complete-scoundrel,Complete Scoundrel,wall of iron,0.769
Wand Modulation,complete-scoundrel,Complete Scoundrel,reanimation,0.615
Winged Watcher,complete-scoundrel,Complete Scoundrel,shield other,0.615
Bear's Heart,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,barghest's feast,0.643
Beastmask,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,beast claws,0.7
Burial Blessing,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,insigna of blessing,0.647
Chain of Chaos,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,cloak of chaos,0.786
Curse of the Brute,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,mark of the hunter,0.667
Divine Flame,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,divine favor,0.75
Divine Storm,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,ice storm,0.762
Divine Zephyr,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,divine power,0.72
Genesis,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,glibness,0.667
Harrier,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,heart ripper,0.737
Knife Spray,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,diamond spray,0.583
Sweet Water,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,curse water,0.727
Sword Stream,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,word of recall,0.615
Unfailing Endurance,defenders-of-the-faith-a-guidebook-to-clerics-and-paladins,Defenders of the Faith: A Guidebook to Clerics and Paladins,bear's endurance,0.629
Armor of Darkness,deities-and-demigods,Deities and Demigods,sword of darkness,0.824
Blacklight,deities-and-demigods,Deities and Demigods,blight,0.75
Genesis,deities-and-demigods,Deities and Demigods,glibness,0.667
Hardening,deities-and-demigods,Deities and Demigods,mending,0.625
Surelife,deities-and-demigods,Deities and Demigods,false life,0.667
Dragon Ally,draconomicon,Draconomicon,draconic ally,0.833
"Dragon Ally, Greater",draconomicon,Draconomicon,"draconic ally, greater",0.905
"Dragon Ally, Lesser",draconomicon,Draconomicon,"draconic ally, lesser",0.9
"Stunning Breath, Greater",draconomicon,Draconomicon,stunning breath,0.769
Citygate,dragon-compendium,Dragon Compendium,castigate,0.706
"Repair Critical Damage, Mass",dragon-compendium,Dragon Compendium,repair critical damage,0.88
"Repair Light Damage, Mass",dragon-compendium,Dragon Compendium,repair light damage,0.864
"Repair Moderate Damage, Mass",dragon-compendium,Dragon Compendium,repair moderate damage,0.88
"Repair Serious Damage, Mass",dragon-compendium,Dragon Compendium,repair serious damage,0.875
Scatterspray,dragon-compendium,Dragon Compendium,shatter,0.632
Susurrus of the City,dragon-compendium,Dragon Compendium,aspect of the deity,0.615
Adoration of the Frightful,dragon-magic,Dragon Magic,breath of the night,0.667
Arcane Spellsurge,dragon-magic,Dragon Magic,arcane eye,0.667
Aspect of the Chromatic Dragon,dragon-magic,Dragon Magic,"aspect of the deity, greater",0.621
